@id	@lon	@lat	name
3785867786	15.4599793	47.0834813	Hilmteich/Botanischer Garten
3786145164	15.3961588	47.0690800	Absengerstraße
3786145165	15.3958940	47.0691397	Absengerstraße
3786145166	15.3921652	47.0684923	Baierdorf
3786145167	15.3921235	47.0684597	Baierdorf
3786145168	15.4019529	47.0703462	Franz-Steiner-Gasse
3786145169	15.3923277	47.0630425	Handelstraße
3786145170	15.3922787	47.0634028	Handelstraße
3786145171	15.3922759	47.0646810	Johann-Haiden-Straße
3786145172	15.3922270	47.0651230	Johann-Haiden-Straße
3786145173	15.4010057	47.0683996	Karl-Morre-Straße
3786145174	15.4008343	47.0684637	Karl-Morre-Straße
3786169608	15.4062940	47.0700825	Fachhochschule Joanneum
3786169609	15.4053499	47.0701996	Fachhochschule Joanneum
3786169610	15.4027920	47.0705618	Franz-Steiner-Gasse
3786182849	15.4097025	47.0701036	Alte Poststraße
3786182850	15.4099929	47.0701114	Alte Poststraße
3786248902	15.4639434	47.0779021	Odilien-Institut
3786248903	15.4642160	47.0784605	Odilien-Institut/Klinikum Süd
3788770639	15.4472341	47.0664654	Dietrichsteinplatz
3788770640	15.4472397	47.0664884	Dietrichsteinplatz
3788770641	15.4466015	47.0665970	Dietrichsteinplatz
3788770642	15.4506256	47.0677152	Mandellstraße
3788770643	15.4507960	47.0677730	Mandellstraße
3788771047	15.4525761	47.0687050	Rechbauerstraße
3788771048	15.4528399	47.0688753	Rechbauerstraße
3788821576	15.4553936	47.0701932	Herz-Jesu-Kirche
3788821577	15.4560325	47.0702013	Herz-Jesu-Kirche
3788821637	15.4589557	47.0691875	Schillerplatz
3788821638	15.4586926	47.0692511	Schillerplatz
3788947039	15.4470435	47.0661616	Dietrichsteinplatz
3788981507	15.4499399	47.0640173	Neue Technik
3789022116	15.4508364	47.0635505	Neue Technik
3789040347	15.4528522	47.0594194	Moserhofgasse
3789040348	15.4525746	47.0593649	Moserhofgasse
3789048232	15.4585727	47.0612210	Sankt Peter Friedhof
3789048233	15.4585525	47.0612424	Sankt Peter Friedhof
3789094988	15.4636634	47.0602343	Schulzentrum St. Peter
3789094989	15.4631627	47.0604102	Schulzentrum St. Peter
3792297258	15.4687441	47.0602152	Plüddemanngasse
3792398978	15.4747522	47.0596548	Breitenweg
3792398979	15.4746624	47.0598510	Breitenweg
3792398980	15.4724393	47.0615745	Eisteichgasse
3792398981	15.4695698	47.0604122	Plüddemanngasse
3792398982	15.4753762	47.0575935	Prof.-Franz-Spath-Ring
3792398983	15.4752290	47.0578482	Prof.-Franz-Spath-Ring
3792453302	15.4422168	47.0672031	Jakominiplatz
3792453303	15.4425799	47.0672955	Jakominiplatz
3792483412	15.4420808	47.0665901	Jakominiplatz
