@id	@lon	@lat	name	website
1026751519	15.4452086	47.0670157	1001 Nacht	http://cafe1001nacht.at
1027319482	15.4516447	47.0746086	Orange	
1030160634	15.4253536	47.1022137	Chop Suey	
1033370527	15.4438669	47.0653032		
1033370924	15.4439216	47.0654468		
1033371046	15.4440247	47.0653469		
1033371174	15.4437608	47.0653712		
1033625320	15.3946959	47.0721278		
1033625330	15.3951940	47.0719462		
1033625332	15.3953316	47.0721213		
1033625333	15.3948336	47.0723029		
1034285727	15.4285481	47.0754509		
1034285965	15.4285073	47.0719634		
1034286073	15.4283540	47.0756371		
1034286186	15.4286136	47.0755038		
1034286377	15.4285888	47.0755445		
1034286397	15.4285573	47.0755356		
1034286407	15.4285478	47.0755512		
1034286442	15.4283741	47.0756428		
1034286494	15.4285079	47.0756167		
1034286523	15.4284746	47.0756712		
1034286530	15.4285112	47.0720126		
1034286690	15.4284114	47.0755429		
1034286720	15.4287230	47.0720047		
1034286773	15.4284621	47.0754598		
1034286837	15.4286315	47.0754744		
1034286888	15.4284794	47.0754314		
1036478541	15.4586042	47.0881174	China Haus	http://members.aon.at/chinarestaurant-chinahaus/
1046513577	15.4386942	47.0591230	Dartclub	
1050267109	15.4366870	47.0757302		
1050267361	15.4365134	47.0760568		
1050267555	15.4366222	47.0759445		
1050267566	15.4366786	47.0755956		
1050267606	15.4367345	47.0758204		
1050267680	15.4369259	47.0759086		
1050267819	15.4369585	47.0755921		
1055050873	15.4527224	47.0774790	Sorger	
1060247304	15.4366726	47.0709972	Cafe T.H.	
1060247363	15.4361188	47.0708706	barista's	
1060247437	15.4367686	47.0709843	Peter Weinstube	
1067761903	15.3951340	47.0465117	Grießner-Wagner	http://www.griessner.at
1083590202	15.4175600	47.0723802		
1084426931	15.4508375	47.0720899	Hubert Auer	
1088145945	15.4549991	47.0641463		
1088145980	15.4548870	47.0642847		
1092863051	15.4374479	47.0847371		
1096094048	15.4047262	47.0746147		
1096094076	15.4047458	47.0747980		
1096094097	15.4046048	47.0748050		
1096094103	15.4045852	47.0746217		
1097270996	15.4440115	47.0723458		
1097270998	15.4443420	47.0723510		
1097275713	15.4443443	47.0722837		
1097275714	15.4442542	47.0722823		
1097275722	15.4440149	47.0722436		
1097275724	15.4442554	47.0722474		
1098006492	15.4409180	47.0683704	Tribeka	http://tribeka.at
1098006502	15.4411373	47.0687925	Tchibo	
1098016183	15.4413417	47.0711484	Cafe Glockenspiel	http://www.glockenspiel.at
1098400976	15.4501004	47.0759622		
1098400982	15.4501915	47.0758496		
1098400984	15.4501676	47.0758432		
1099617698	15.4501506	47.0758733		
1099712263	15.4416154	47.0712444	Hemingway Bar	www.hemingway-bar.at
1099747135	15.4372958	47.0723634	la enoteca	
1100487243	15.4511855	47.0753281	Revolution	
1100664472	15.4462272	47.0676454	Cafe Bistro Santorin "Zum verlorenen Sohn"	
1100664481	15.4458523	47.0676846	Q	http://www.clubq.at
1103121576	15.4532601	47.0762659	Café Global	http://www.aai-graz.at/cms/index.php?page=heim-haus&hl=de_DE
1109082783	15.4288386	47.0888050		
1109082785	15.4290761	47.0887290		
1109082787	15.4289147	47.0886975		
1109082804	15.4288463	47.0887487		
1109082815	15.4289837	47.0888685		
1109142695	15.4299330	47.0370356	Zum Kochlöffel	
1109772615	15.4526013	47.0721377	Fontana di Trevi	
1111820852	15.4517874	47.0389138	Kutscherhof	
1119825954	15.4269348	47.0543097		
1119825973	15.4271331	47.0543015		
1119826125	15.4270939	47.0543598		
1119826128	15.4270261	47.0542679		
1119826163	15.4269740	47.0542515		
1129737263	15.4325995	47.0381974	s'Reindl	
1133577978	15.4600682	47.0757370	Leonhard Stüberl	
1158028124	15.4305638	47.0857174	Cafe Lang	
1162583065	15.4387639	47.0680599	Ducks Coffee Shop	
1164252612	15.4353441	47.0736389		
1171896189	15.4348217	47.0766179		
1171896212	15.4348034	47.0766082		
1195841741	15.4711018	47.0672213		
1195842182	15.4710504	47.0670871		
1195843094	15.4713294	47.0671310		
1195843571	15.4710983	47.0672317		
1195843971	15.4710062	47.0672173		
1195844533	15.4712688	47.0673094		
1195844786	15.4711645	47.0672930		
1197831412	15.4396545	47.0728856	coco	
1197831421	15.4400911	47.0736501	Seasons	www.seasons.at
1200796608	15.4337942	47.0724055	Opatija	http://www.opatija-restaurant.at/
1200796728	15.4210279	47.1032526	Happy Buddha	
1205514740	15.4004572	47.0256546	Neu Nagoja	
1213593782	15.4291780	47.0848808		
1213593794	15.4292109	47.0849022		
1213593799	15.4290799	47.0849883		
1213593800	15.4290572	47.0849713		
1213593801	15.4290955	47.0849382		
1213593804	15.4291275	47.0849590		
1226012003	15.4245803	47.1248063	Scherwirt	
1234442464	15.4332235	47.0678642	Grill am Gries	
1235206880	15.4235426	47.1136245	La Botte	http://www.la-botte.at
1239256152	15.4317432	47.0671094	Cinanbeyli Kulu	
1240370343	15.4230643	47.1128210	Cafe Feiertag	
1240613138	15.4267601	47.1037495		
1245374317	15.4485714	47.0353379		
1245374616	15.4486472	47.0352517		
1245375655	15.4484006	47.0351508		
1245375736	15.4483247	47.0352370		
1245706722	15.4235576	47.0686836		
1245706747	15.4233924	47.0686933		
1245706764	15.4234010	47.0687607		
1245892015	15.4238145	47.0696797		
1245892026	15.4237327	47.0696963		
1251189837	15.4040280	47.0962499		
1251189902	15.4040364	47.0962274		
1251189903	15.4039439	47.0962354		
1251189921	15.4041165	47.0962412		
1251189922	15.4039988	47.0960163		
1252395492	15.4555646	47.0380516		
1252395561	15.4552205	47.0379874		
1252395649	15.4555065	47.0380443		
1252395741	15.4551896	47.0379835		
1252395899	15.4552080	47.0379158		
1252395999	15.4553967	47.0380305		
1252396033	15.4553853	47.0380728		
1252396115	15.4555884	47.0379637		
1252396159	15.4554951	47.0380866		
1252396181	15.4552150	47.0380076		
1255781190	15.3998598	47.0226119		
1262535774	15.4364459	47.0749045		
1265783498	15.4210906	47.0379642	Valentino	
1274272029	15.4493526	47.0663408	Bella Vita	
1274759485	15.4523219	47.0726402	paparazzi street lounge at pharmacy bar	www.pharmacy-bar.com
1274902729	15.4524882	47.0727347	garden lounge at pharmacy bar	www.pharmacy-bar.com
1291616501	15.4767111	47.0782582		
1291616575	15.4767086	47.0782251		
1291616600	15.4766680	47.0783691		
1291616666	15.4768926	47.0782560		
1291616692	15.4766598	47.0782600		
1291616742	15.4769006	47.0783610		
1291616855	15.4768246	47.0782584		
1291616920	15.4768218	47.0782212		
1297826396	15.4322514	47.0713742		
1297826399	15.4323057	47.0713072		
1300510229	15.4588332	47.0611817		
1300510234	15.4557068	47.0604183		
1300510246	15.4551736	47.0604775		
1300510272	15.4555682	47.0606149		
1307317627	15.4518918	47.0713009	People's	
1315145875	15.4332169	47.0609955	Goldene Schwalbe	
1319828290	15.4658197	47.0662972	Cafe Marianne	
1320235051	15.4369629	47.0597239	Ralf's Come In	
1326949368	15.4400115	47.0782461		
1330600231	15.3841524	47.0310515		
1330600235	15.3839904	47.0311428		
